K   -.-
9   ----.
3   ...--
0   -----
.   .-.-.-
,   --..--
2   ..---
1   .----
6   -....
5   .....
4   ....-
8   ---..
7   --...
E   .
B   -...
A   .-
?   ..--..
D   -..
C   -.-.
H   ....
G   --.
F   ..-.
J   .---
I   ..
S   ...
O   ---
M   --
L   .-..
N   -.
Q   --.-
P   .--.
R   .-.
W   .--
U   ..-
T   -
V   ...-
Y   -.--
X   -..-
Z   --..
